Name,Level,Time,Points,Date,Year
David Witten,Facility Agent,0:45,69,3-Jan-13,
Guilherme Alberto,Facility Agent,0:45,69,16-Jan-13,
Michael K,Facility Agent,0:45,69,25-Mar-14,
Henrik Norgren,Facility Agent,0:45,69,7-Sep-14,
Alex Anderson,Facility Agent,0:45,69,25-Sep-14,
Trent H,Facility Agent,0:45,69,6-Feb-15,
Philip Bezgoubov,Facility Agent,0:45,69,12-Apr-15,
Walton Mattei,Facility Agent,0:45,69,20-Jul-15,
Rich Noe,Facility Agent,0:45,69,10-Sep-16,
Gregor Degenhart,Facility Agent,0:45,69,7-Oct-16,
Samuel Haycock,Facility Agent,0:45,69,26-Oct-17,
Terrance Collins,Facility Agent,0:45,69,11-May-18,
Randy Chapman,Facility Agent,0:45,69,2-Jun-18,
Austin H,Facility Agent,0:45,69,5-Aug-18,
Matthew Burden,Facility Agent,0:45,69,2-Sep-18,
Joonas Kyt,Facility Agent,0:45,69,9-Sep-18,
Irie Butler,Facility Agent,0:45,69,10-Oct-18,
Henry Rodriguez,Facility Agent,0:45,69,26-Oct-18,
Eric Bergmann,Facility Agent,0:45,69,4-Nov-18,
Jakob Birkenes,Facility Agent,0:45,69,17-Nov-18,
Rayan I,Facility Secret Agent,0:52,100,24-Dec-12,
Marc Rützou,Facility Secret Agent,0:52,100,4-Oct-13,
Luke Szklarz,Facility Secret Agent,0:52,100,29-Jun-14,
Daniel Coelho,Facility Secret Agent,0:52,100,29-Jan-15,
Dan Parker,Facility Secret Agent,0:52,100,1-Jan-18,
Karl Jobst,Facility Secret Agent,0:52,100,7-Jan-18,
David Clemens,Facility Secret Agent,0:53,91,16-May-10,
Justin St-Pierre,Facility Secret Agent,0:53,91,28-Dec-14,
Ilari Pekkala,Facility Secret Agent,0:53,91,12-Dec-15,
Gus Riolo,Facility Secret Agent,0:53,91,9-Oct-17,
Bryan B,Facility Secret Agent,0:54,87,28-Jul-07,
Leonardo Santos,Facility Secret Agent,0:54,87,19-Feb-08,
Jimmy Bauer,Facility Secret Agent,0:54,87,2-Apr-14,
Eise S,Facility Secret Agent,0:54,87,18-Jul-14,
Jim Barrett,Facility Secret Agent,0:54,87,15-Oct-14,
Ryan W,Facility Secret Agent,0:54,87,28-Dec-14,
Jonathan Hotinski,Facility Secret Agent,0:54,87,6-Jul-15,
Randy Buikema,Facility Secret Agent,0:54,87,26-Apr-16,
Jezz S,Facility Secret Agent,0:54,87,21-Sep-16,
Ludovic Begon,Facility Secret Agent,0:54,87,5-Jan-18,
Craig McGrath,Facility Secret Agent,0:54,87,8-Dec-18,
Michael K,Facility Secret Agent,0:55,76,8-Jul-07,
Luke Pettit,Facility Secret Agent,0:55,76,16-Jun-12,
Guilherme Alberto,Facility Secret Agent,0:55,76,27-Jan-13,
Shawn Johnson,Facility Secret Agent,0:55,76,14-Jul-13,
Alex Anderson,Facility Secret Agent,0:55,76,11-Sep-14,
Philip Bezgoubov,Facility Secret Agent,0:55,76,13-Apr-15,
Alex Carvalho ,Facility Secret Agent,0:55,76,30-May-15,
Oscar Pleininger,Facility Secret Agent,0:55,76,17-May-16,
Vitor Miranda,Facility Secret Agent,0:55,76,21-Mar-17,
Tyler Deel,Facility Secret Agent,0:55,76,13-May-17,
Sam Rodrigues,Facility Secret Agent,0:55,76,30-Oct-17,
Eddie Lovins,Facility Secret Agent,0:55,76,,
Ryan Koch,Facility Secret Agent,0:55,76,,
Trent H,Facility Secret Agent,0:55,76,,
Gregor Degenhart,Facility Secret Agent,0:56,62,21-Feb-14,
Alec M,Facility Secret Agent,0:56,62,19-Apr-16,
Austin H,Facility Secret Agent,0:56,62,24-Mar-18,
Joris Quevedo,Facility Secret Agent,0:56,62,13-Jun-18,
Matthew Burden,Facility Secret Agent,0:56,62,3-Sep-18,
Henry Rodriguez,Facility Secret Agent,0:56,62,30-Oct-18,
Jakob Birkenes,Facility Secret Agent,0:56,62,24-Nov-18,
Irie Butler,Facility Secret Agent,0:56,62,29-Nov-18,
Adam Bozon,Facility Secret Agent,0:56,62,,
Dan Cervone,Facility Secret Agent,0:56,62,,
David Witten,Facility Secret Agent,0:56,62,,
Ryan Lockwood,Facility Secret Agent,0:56,62,1-Nov-14,
Glen Stevens,Facility Secret Agent,0:56,62,,
Takahiro Arai,Facility Secret Agent,0:56,62,,
Rayan I,Facility 00 Agent,0:52,100,19-Mar-13,
Luke Szklarz,Facility 00 Agent,0:52,100,14-Apr-16,
David Clemens,Facility 00 Agent,0:53,95,25-May-10,
Marc Rützou,Facility 00 Agent,0:53,95,21-Sep-13,
Justin St-Pierre,Facility 00 Agent,0:53,95,20-Nov-14,
Daniel Coelho,Facility 00 Agent,0:53,95,18-Feb-15,
Dan Parker,Facility 00 Agent,0:53,95,12-Dec-17,
Bryan B,Facility 00 Agent,0:54,90,1-Aug-07,
Karl Jobst,Facility 00 Agent,0:54,90,7-Apr-14,
Jimmy Bauer,Facility 00 Agent,0:54,90,12-Apr-14,
Jim Barrett,Facility 00 Agent,0:54,90,27-Nov-14,
Ilari Pekkala,Facility 00 Agent,0:54,90,11-Dec-15,
Jonathan Hotinski,Facility 00 Agent,0:54,90,3-Jul-16,
Ludovic Begon,Facility 00 Agent,0:54,90,7-Jan-18,
Leonardo Santos,Facility 00 Agent,0:55,83,19-Apr-07,
Michael K,Facility 00 Agent,0:55,83,8-Jul-07,
Trent H,Facility 00 Agent,0:55,83,11-Aug-10,
Luke Pettit,Facility 00 Agent,0:55,83,16-Jun-12,
Ryan W,Facility 00 Agent,0:55,83,25-Jan-13,
Shawn Johnson,Facility 00 Agent,0:55,83,19-Jul-13,
Alex Anderson,Facility 00 Agent,0:55,83,16-Jul-14,
Eise S,Facility 00 Agent,0:55,83,13-Apr-16,
Randy Buikema,Facility 00 Agent,0:55,83,13-Apr-16,
Oscar Pleininger,Facility 00 Agent,0:55,83,19-May-16,
Gus Riolo,Facility 00 Agent,0:55,83,22-Jun-17,
Sam Rodrigues,Facility 00 Agent,0:55,83,12-Nov-17,
Eddie Lovins,Facility 00 Agent,0:55,83,,
Dan Cervone,Facility 00 Agent,0:56,70,11-Dec-06,
Ryan Koch,Facility 00 Agent,0:56,70,19-Feb-13,
Alex Carvalho ,Facility 00 Agent,0:56,70,30-May-15,
Vitor Miranda,Facility 00 Agent,0:56,70,21-Mar-17,
Tyler Deel,Facility 00 Agent,0:56,70,27-May-17,
Joris Quevedo,Facility 00 Agent,0:56,70,29-May-18,
Henry Rodriguez,Facility 00 Agent,0:56,70,26-Oct-18,
Adam Bozon,Facility 00 Agent,0:56,70,,
David Witten,Facility 00 Agent,0:56,70,,
Guilherme Alberto,Facility 00 Agent,0:56,70,,
Takahiro Arai,Facility 00 Agent,0:56,70,30-Oct-09,
Bryan B,Runway Agent,0:22,100,9-Mar-04,
Michael K,Runway Agent,0:22,100,15-May-06,
Jimmy Bauer,Runway Agent,0:22,100,15-Nov-06,
Ryan W,Runway Agent,0:22,100,17-Nov-06,
Leonardo Santos,Runway Agent,0:22,100,2-Dec-06,
Guilherme Alberto,Runway Agent,0:22,100,24-Feb-07,
Ilari Pekkala,Runway Agent,0:22,100,1-Apr-07,
David Clemens,Runway Agent,0:22,100,11-May-07,
Rafael Lanfredi,Runway Agent,0:22,100,28-Sep-07,
Rayan I,Runway Agent,0:22,100,9-Oct-07,
Randy Buikema,Runway Agent,0:22,100,25-Nov-07,
Dan Cervone,Runway Agent,0:22,100,20-Feb-08,
Wouter Jansen,Runway Agent,0:22,100,31-Mar-08,
Eddie Lovins,Runway Agent,0:22,100,9-Jul-09,
Ryan Koch,Runway Agent,0:22,100,7-Dec-09,
Marc Rützou,Runway Agent,0:22,100,26-Feb-11,
Luke Szklarz,Runway Agent,0:22,100,10-Feb-13,
Jim Barrett,Runway Agent,0:22,100,5-Jun-13,
Karl Jobst,Runway Agent,0:22,100,11-Sep-13,
Philip Bezgoubov,Runway Agent,0:22,100,7-Oct-13,
Shawn Johnson,Runway Agent,0:22,100,10-Nov-13,
Henrik Norgren,Runway Agent,0:22,100,2-Jan-14,
Daniel Coelho,Runway Agent,0:22,100,25-Jan-14,
Ryan Lockwood,Runway Agent,0:22,100,2-Apr-14,
Eric B,Runway Agent,0:22,100,21-Jun-14,
